qCoarse:qFine	question	answer
NUM:date	Em que ano foi atribuído o prémio Nobel a Thomas Mann? 	1929
HUM:ind	Quem é o administrador-delegado da Fiat? 	Cesare Romiti 
LOC:city	Em que cidade se encontra a prisão de San Vittore? 	Milão 
NUM:other	Qual a unidade de medida da frequência? 	hertz 
NUM:count	Qual o aumento da população mundial por ano? 	94 milhões 
HUM:ind	Qual o nome próprio do juiz Borselino? 	Paolo 
NUM:count	Quantos guarda-costas foram mortos no atentado ao juiz Falcone? 	três 
HUM:desc	Quem é Shimon Peres? 	o ministro dos negócios estrangeiros israelita 
HUM:title	Que cargo ocupa Ariel Sharon? 	líder do Likud 
NUM:date	Quando foi atribuído o Prémio Nobel da Paz a Yasser Arafat? 	1994
LOC:city	Qual é a cidade santa dos judeus? 	Jerusalém 
NUM:count	A quanto se eleva o número de refugiados palestinianos no Líbano? 	400.000 
NUM:date	Em que ano rebentou a Intifada? 	1987
HUM:desc	Como se chamavam os pilotos suicidas japoneses? 	kamikaze 
LOC:country	Que nação é a principal fornecedora de armas a países do Terceiro Mundo? 	França 
NUM:date	Em que ano foi lançada a bomba atómica sobre Hiroshima? 	1945
HUM:gr	A que partido pertencia Hitler? 	partido nazi 
ENTY:lang	Que língua se fala na Alemanha? 	alemão 
NUM:count	Quantos milhões de judeus foram mortos durante a Segunda Guerra Mundial? 	seis 
LOC:other	Onde era o campo de concentração de Auschwitz? 	Polónia 
HUM:gr	Quem é o maior operador de telemóveis do mundo? 	Telecom Italia 
NUM:date	Em que ano terminou a Segunda Guerra Mundial? 	1945
HUM:ind	Qual é o primeiro nome de Hitler? 	Adolf 
ENTY:currency	Que moeda se usa na Alemanha? 	marco 
HUM:ind	Quem foi o autor de "Mein Kampf"? 	Adolf Hitler 
LOC:other	Qual é a capital da Rússia? 	Moscovo 
HUM:gr	Que companhia automóvel produz o "carocha"? 	Volkswagen 
ENTY:other	Qual o título do filme de Stephen Frears com Glenn Close, John Malkovich e Michelle Pfeiffer? 	Ligações perigosas 
LOC:country	Que país faz fronteira a norte com o Canadá? 	Estados Unidos 
HUM:ind	Quem foi o primeiro presidente dos Estados Unidos? 	George Washington 
HUM:title	Qual a profissão de James Bond? 	agente secreto da contra-espionagem britânica 
HUM:ind	Quem interpretava o papel de James Bond nos primeiros filmes da série 007? 	Sean Connery 
HUM:ind	Quem interpreta o papel de James Bond no último filme da série 007? 	Pierce Brosnan 
LOC:other	Onde se realiza o Motorshow? 	Bolonha 
HUM:gr	A quem se pede uma hipoteca? 	ao banco 
HUM:gr	Que escola frequentará Guilherme, o filho mais velho do príncipe Carlos? 	Eton 
HUM:gr	De que grupo musical fazia parte Michael Jackson quando era criança? 	Jackson Five 
DESC:manner	Como morreu Jimi Hendrix? 	heroína 
HUM:ind	Quem era o pai de Lisa Marie Presley? 	Elvis 
HUM:ind	Com quem se casou Michael Jackson? 	Lisa Marie Presley 
NUM:period	Com que idade é que Michael Jackson começou a cantar no grupo "Jackson Five"? 	aos três anos 
ENTY:cremat	Em que género musical se distingue Michael Jackson? 	música "pop" 
HUM:gr	Como se chama a companhia discográfica de Michael Jackson? 	ATV Music 
HUM:ind	Quem foi o inventor da televisão? 	John L. Baird 
NUM:count	Quantos intervalos comerciais num filme são permitidos actualmente pela CEE? 	quatro 
DESC:def	O que é a Mossad? 	serviço secreto israelita 
ABBR:exp	O que é o INCB? 	International Narcotics Control Board 
NUM:other	A que pena foi condenado Pietro Pacciani pelos crimes do monstro de Florença? 	prisão perpétua 
NUM:count	Quantos crimes são atribuídos ao Monstro de Florença? 	oito homicídios duplos 
ENTY:cremat	Qual o diário italiano mais lido? 	Corriere della Sera 
NUM:count	Quantas pessoas sobrem de obesidade nos Estados Unidos? 	35 por cento das mulheres 
ENTY:food	Diga um ingrediente base da cozinha japonesa. 	tofu 
NUM:date	Em que ano foi fundada a Greenpeace? 	1971
LOC:other	Onde ocorreu uma catástrofe ecológica? 	Schweizerhalle, perto de Basileia 
